,comments
227,정말? 정말 이쁘다고? 노느언니에서  첨봣는데  왠 할머니형 얼굴 이던데... 글고 왠주접이 그리 ... 방구?똥싸고싶어? 오줌싼다?
228,아니면 그냥 보지말고 넘기세요;; 괜한 댓글 달아서 선수님들도 사람인데 상처받게 하지 말고;
229,차 광고 보고 궁금했던 그분!
230,"성형하기전 어우.,.."
231,"어우?모,모모냐구요?개인의취향?.나는성형전,이좋던데......"
232,Good girl XXX
233,썸네일보고 들어온사람 조용히 손올려라....
234,"I don&#39;t understand, but I watch till end"
235,조회수 무슨일이야...?
236,쌍둥이다영님화이팅
237,힘세요
238,매력으로 보면 내 인생 한손으로 꼽을듯 ..
239,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m24s"">3:24</a> 마우스 스트리밍 바에 올려놓고 오른쪽으로 이것만 찾아서 보고 간다~"
240,김연경 선수한테 앵길 때 참 앙증맞고 아담해(?!)보였는데 아뿔싸 키가 180에서 1센치 모자랐...
241,"김연경,오기전,현건시절,양효진&lt;190CM&gt;에게안기면서,뽀뽀하던때는정말,앙징맞고,귀여웠는데&lt;효진언니,두고어딜가요?.다영아,뽀뽀좀,그만할래?.언니,우승하면,입에다.해드랄깨요/&gt;하면서,꼭잡고앉길때,귀여웠는데....프로라서&lt;연봉&gt;이적하니....헤어질때도,앉겨서,고개쳐들고울었을것,생각하면......"
242,쟤는 미모와실력 다 갖췄는데<br>미녀골퍼 유현주는 실력이 좀 아쉽다... ㅜㅜ
243,좋아요 안누를수 없다
244,"좋아요,누르지말아요"
245,쌍커플이 진짜 중요하구나ㅋ
246,레즈는 아니지?
247,아무 근거없이 막 달지마세요;;
248,그닥..
249,음... 김선호 닮았다
250,이분도 옛날 사진 보면 예쁘다는 이야기 하기 힘들건데
251,이다영 배구공으로 코살짝 스친거로 경기중단급으로 엄살오지더만ㅎㅎ철딱서니도없어보이고ㅡㅡ성형좀적당히해라<br>구단소속 배구 동료는 출전기회얻지못해 목숨까지 끊던데 안미안하냐?
252,남이 성형을 하든 말든 대체 뭔상관임ㅋㅋㅋ 불법행위 인것도 아니고;
253,ㅋㅋㅋ진짜 생각좀 하고 댓 달으세요;; 살짝 스친거라도 위험합니다;; 도대체 쌍수 하나 한것가지고 성형좀적당히 하라는 댓글 왜이렇게 많은지...자기만족인데...
254,성형이 ㄷㄷ
255,?
256,운동선수들 안꾸며서 그렇지 찾아보면 화장하고 꾸몃을때 이쁜사람들 많은거 같다
257,결혼하고 싶네요
258,"@ssibjadorayiba 님,그럼꿈만꾸셔요/할일없고.심심할때란생각.?스마트,란이런것에쓰이는,단어가아닌것같은데..인스탄트,사상을지녀셨군요.다영선수는,국대고.배구팬이라면,누구나,사랑스러운선수인데....실망스럽내요.다영선수를,그리취급하시다니....."
259,@윤보스 10번 찍기 귀찮네요.옛날엔 밥먹고 할일없어 안넘어가는 나무 붙잡고 심심할때 가서 도끼질해대서 그런말이 있는거지..요새 이 스마트한 시대엔 한번 찍어 안돼면 전기톱사다 짤라버리죠.왜 10번을 찍고 있겠어요?
260,"@ssibjadorayiba 님,희망을,가져요/10번찍으면,쓰러진다는,나무&lt;다영선수&gt;노력해봐요"
261,@윤보스 사랑해요~♡
262,"@ssibjadorayiba 님,지금부터,다영선수의영상을,찿아보면서하나,하나유심히,행동,언어,웃음,표현,성격.인성.가족,모든걸,꼼꼼히,관심을가지고.100번보시고찿아보면60%는희망&lt;적을알고,나를알면.100전100승&gt;있어요"
263,이다영 선수 말고  조송화 선수 도 해주세요 ㅠㅠ
264,ㅋㅋㅋ 예쁘고 성실하고 흥도 넘치고. 사람을 기분 좋게 하시는 분이네요. 화이팅!
265,"유튜브 덕분에 김연경을 더 알게되고 국대쌍둥이를 알게되고 코보티비에 빠지고 킥스티비에 빠지고 모든 배구선수를 알게되어 배구에 발이 잡혀 배구공과 배구책, 더스파이크잡지까지 사게되고 이제 직관까지 가겠네<br>날 그냥 배구에 빠뜨려버렸네 유튜브... 알고리즘...."
266,꼴리긴한다
267,여자 카게야마셧군아..
268,"<a href=""https://youtu.be/W4u9vx5g9lE"">https://youtu.be/W4u9vx5g9lE</a><br>이다영 성형전"
269,이미 이다영 앓이  말기입니다...
270,진짜 이쁘다...
271,암만 봐도 60키로는 넘는듯..<br>179에 60이면 뼈밖에 없는건데...
272,"사실이래요/실지.직관가서&lt;일찍입장&gt;유니폼입고,몸풀때,다영선수보면,늘씬해요.영경.효진.수지,송이.기타190CM대선수들은정말커요.물런일반인보다,크지만,연애인보다,훨씬늘씬해요"
273,좋아서 두번 봤습니다 <br>잘보고 갑니다 <br>2020년 흥하세요
274,다영찡 ㅠ ㅠ 👍
275,그럼 머해 배구는 줮도 못하는데
276,존못우웩
277,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=02m17s"">02:17</a> 약간 차이가 아닌데?  눈만 한 거 맞는?"
278,아는언니 아는사람은 다 알사람
279,걍 얼굴이 이쁘네.<br>얼굴이 예뻐서 다른 행동들이 더 좋게 보이지
280,성형 ㅈㄴ했네
281,두 선수가 일란성 쌍둥이에요????? <br>많이 다르게 생기셨네..<br>근데 여자끼리 뽀뽀 하는거 보면 성적 성향이 좀 다르신 듯 한데...<br>배구 잘 모르지만 김수지란 선수도 괜찮던데 ㅋ
282,엥 제 친구들도 여자끼리 그냥 볼뽀뽀 하고 그러는데요?
283,이뻐지니 자신감도찾고 밝아진거같아여<br>전엔 이러케까지 활발하진 않았는데~~<br>수술잘되서 부럽다ㅠ
284,@진라면채널 ? 댓달기 전에 생각좀해주세요
285,"예전 모습보면 이재영이랑 똑같이 생겼는데, 지금은 훨 이뻐진거 보면 쌍꺼풀수술의 힘이 대단하네요."
286,박고싶자ㅡ않냐
287,"<a href=""https://www.youtube.com/watch?v=l5tDfGz2C4w&amp;t=3m25s"">3:25</a>"
288,ㅋㅋㅋㅋ돈많이땃엇지
289,진짜 너무 인조인간 같다
290,이재영<br>이나영       다 이쁘다<br>이다영
291,키가179인데 저 체격이 60? 운동선수라 근육도 많을텐데
292,대표적인 연예인병!
293,존나 못하면서 존나 이쁜척만 개쩌는 입에 욕을 아주 달고 사는 그분이네^^
294,@즐겁지유 팩트로 말씀드린거에요 ^^
295,생각좀하고 댓 다세요 선수님도 사람입니다
296,악플은 자제가 아니라 그냥 하지마세용
297,옛날 가족사진 보니까 전주출신인가보네
298,근데 어느부분에서 빠져야 하는지...??
299,얼굴이 되게 깔끔하게 예쁨
300,양손잡이?? 배구계의 손흥민이네.
301,같은사람이었어?
302,내가 배구 좋아하는지 오늘알았네
303,성형해서 난 진심 보기 역겨운데
304,보기싫으면 넘기세요;; 쌍수한거 가지고 진짜 너무 하시네요 자기만족인데
305,ㅋㅋㅋ
306,한녀는 성형을해야되나 ㅠㅠ
307,이다영씨 배구보다 연예인되시는게 어때요 배구코트에 끼를뿌리시더니만 이재영씨는 그래도 배구는 잘하시더라고요
308,누나가 아니지만 돈 잘벌고 이쁘니까 누나.. 눈나 나주거..
309,시아준수 닮으셨넹
310,아오
311,우리 익산!!
312,크 이쁘네잉
313,진자 이쁘긴하네 ㅋㅋㅋㅋㅋㅋ
314,왁싱안하면좋겠다♡♡
315,우월종자. 납득.
316,난 이다영 성형전이 더 좋더라~ 어디서 시술했는지 죄다 저런얼굴이여.. 왜했어 안해도 이쁜데
317,쌍수가 신의한수
318,수술하고 용됐지 ㅋㅋㅋㅋ
319,쌍둥이인데 왜 얼굴이 다르죠?
320,하나만 죽자고 파고 들었으면 좋겠네요...
321,와 키가 나랑 같아... ㅋㅋ
322,주위력 100  의시됌
323,고마하지
324,경기중에 아~ㅅㅂ이라고 하는 움짤있던데 솔직히 실망
325,실력과 미모를 갖춘 이다영~
326,응 뚜껑
327,뽀뽀좀 안했으면...<br>선수들이 침을 묻혀 기겁한다고 하던데...<br>코로나에 공에도 뽀뽀 금지. 다른 선수들이 돌아가며 만지게 되는공.
328,오늘도 좋아하는 여자가 생겼습니다
329,예림이도이쁜데
330,썸네일 한수 배우고 갑니다. 👍
331,그냥딱 배구선수 그이상 그이하 도아님 아무리봐도 성욕은 않생긴다 ㅉ
