,0
72432,연예기획사 나쁜놈이<br>거의 다인듯.<br>어린애들 등꼴빼먹는 놈들<br>그냥 살아 벌받아라.<br>죽어서 지옥 가는건 당연한데<br>우리가 모르니까.<br>살아서 꼭좀 벌받자.<br>에라이 이것들아.<br>니 새끼면 그러겠니?
72433,돈밖에 모르는 자들이네요 아무리 돈을 벌기위한 사업이라지만<br>기본적인 매너들은 있어야지 ~ 참 너무들 한다 기본적인 매너만이라도 갖추길<br>그리고 책임지겠다고 한말에 대해선 책임을 지시길
72434,오랜된 내용이지만 기획사가 어디인지 철저하게 벍혀야 할텐데... 혹시 개그맨 했던 거시기가 운영하는 기획사인가요?
72435,뭐 이런 개같은 경우가있나 사망 보험은 가족한테가야지  왜 사기꾼들이받나 세상에 딸이 벌어서 생활을했다는데 그 부모는 딸죽은것도 억울한데 보험까지 갈취를하나 천벌받을 못됀 사람들이네요 이거 지금이라도 밖혀야돼지 않나요
72436,하은ENT 대표이사 김성광<br>고향 : 광주광역시<br><br>전라도는 과학이다.
72437,일반화 오지네.... 인터넷 말고 현실세계에서 그 얘기 해봐라 갑분싸 될거다. 알음알음 주변에 전라도 사람 없을 것 같냐?
72438,세상에는 용서하지 못할 죄가 있다.
72439,음반지시 한 사람ㅈ이 죽인거아냐? 밟고달리게했으니
72440,아니이게 왜 이제 이슈화가 되냐  부모님 건강은 어쩌됐는지  10수년전 예기아니가?   심진화 씨  용기고맙네요
72441,세상은 넓고 궤쉐퀴들은 많다!
72442,진실이 밝혀지길<br>바랍니다
72443,소속사가 살인자네.<br>  그렇게 강제 협박한 소속사가 책임져야지.
72444,"한국의 기획사는<br>월드양아치다.<br>법을 강하게 만들어서<br>무조건 구속시키고, 재산몰수 해야된다."
72445,법을 만들고 집행하는것들도 한통속이라...한국놈들은 믿을놈이 없음
72446,불속계약운동해야겠네!!!<br>더러운인간들은당해봐야돼<br>이번기회에 불합리적은자격안된<br>연예소속사 폐기처분해야죠~~<br>연예인삶은국민과밀접한 이해관계가있기때문에보호하고지켜줘야해요<br>판사놈들책만볼줄알지<br>현실좀 느끼려고 노력좀 하세요들~~
72447,소속사는 개그스테이션...<br>아직도 버젓이 영업중임
72448,문닫아라 진짜 토나옴
72449,아유 세상에 ㅠ ㅠ 어린  꽃같은 나이인데 ㅠ
72450,소속사사장이나 매니저나 양아치 깡패새끼들이지
72451,ㅋㅋㅋㅋ 이때부터 경찰은 이미 대충대충 사건 넘기려 했었구나. 이제 경찰 소재로 드라마 만들때 진짜 열의와 책임을 다해서 사건 해결하고 범인 잡는 모습 담지말고 지금 한국 경찰의 실태 파악해서 나태해져버린 말도 안되는 모습들 만 담아라. 경찰 존경 접는다 이제 진짜 진절머리난다. 내 지역 방범대 지역 인근 경찰 아재들 다 일 대충하는거 여기만 그런줄 알았지만 서울같은 대도시는 실적 달린것들만 제대로 하려하지 지들 맘대로 사건 조작 은폐하는 것도 너무 역겹다. 이나라 누굴 믿고 살아가냐
